Year,Bank,Metric,Value
2010,TD,Market Capitalization,65280000000.00
2011,TD,Market Capitalization,68590000000.00
2012,TD,Market Capitalization,76860000000.00
2013,TD,Market Capitalization,92020000000.00
2014,TD,Market Capitalization,102450000000.00
2015,TD,Market Capitalization,100690000000.00
2016,TD,Market Capitalization,122600000000.00
2017,TD,Market Capitalization,135750000000.00
2018,TD,Market Capitalization,124220000000.00
2019,TD,Market Capitalization,131990000000.00
2020,TD,Market Capitalization,130560000000.00
2021,TD,Market Capitalization,176870000000.00
2022,TD,Market Capitalization,159990000000.00
2023,TD,Market Capitalization,153750000000.00
2024,TD,Market Capitalization,133580000000.00
2025,TD,Market Capitalization,166750000000.00
2010,TD,Total Assets,667400000000.00
2011,TD,Total Assets,735490000000.00
2012,TD,Total Assets,811100000000.00
2013,TD,Total Assets,862020000000.00
2014,TD,Total Assets,960510000000.00
2015,TD,Total Assets,1104000000000.00
2016,TD,Total Assets,1176000000000.00
2017,TD,Total Assets,1278000000000.00
2018,TD,Total Assets,1334000000000.00
2019,TD,Total Assets,1415000000000.00
2020,TD,Total Assets,1715000000000.00
2021,TD,Total Assets,1728000000000.00
2022,TD,Total Assets,1917000000000.00
2023,TD,Total Assets,1955000000000.00
2024,TD,Total Assets,2061000000000.00
2025,TD,Total Assets,
2010,TD,Net Assets,39870000000.00
2011,TD,Net Assets,44000000000.00
2012,TD,Net Assets,49000000000.00
2013,TD,Net Assets,51380000000.00
2014,TD,Net Assets,56230000000.00
2015,TD,Net Assets,67020000000.00
2016,TD,Net Assets,74210000000.00
2017,TD,Net Assets,75190000000.00
2018,TD,Net Assets,80040000000.00
2019,TD,Net Assets,87700000000.00
2020,TD,Net Assets,95490000000.00
2021,TD,Net Assets,99810000000.00
2022,TD,Net Assets,111380000000.00
2023,TD,Net Assets,112070000000.00
2024,TD,Net Assets,115160000000.00
2025,TD,Net Assets,
2010,TD,Revenue,19690000000.00
2011,TD,Revenue,21400000000.00
2012,TD,Revenue,23200000000.00
2013,TD,Revenue,30050000000.00
2014,TD,Revenue,29440000000.00
2015,TD,Revenue,31830000000.00
2016,TD,Revenue,34500000000.00
2017,TD,Revenue,36070000000.00
2018,TD,Revenue,39160000000.00
2019,TD,Revenue,41330000000.00
2020,TD,Revenue,42750000000.00
2021,TD,Revenue,42720000000.00
2022,TD,Revenue,47350000000.00
2023,TD,Revenue,52120000000.00
2024,TD,Revenue,57510000000.00
2025,TD,Revenue,58760000000.00
2010,TD,Earnings,6080000000.00
2011,TD,Earnings,6940000000.00
2012,TD,Earnings,7720000000.00
2013,TD,Earnings,7750000000.00
2014,TD,Earnings,9130000000.00
2015,TD,Earnings,9440000000.00
2016,TD,Earnings,11000000000.00
2017,TD,Earnings,12550000000.00
2018,TD,Earnings,13110000000.00
2019,TD,Earnings,14080000000.00
2020,TD,Earnings,12400000000.00
2021,TD,Earnings,17680000000.00
2022,TD,Earnings,18170000000.00
2023,TD,Earnings,14000000000.00
2024,TD,Earnings,10770000000.00
2025,TD,Earnings,19710000000.00
2010,RBC,Market Capitalization,74510000000.00
2011,RBC,Market Capitalization,74490000000.00
2012,RBC,Market Capitalization,86500000000.00
2013,RBC,Market Capitalization,102870000000.00
2014,RBC,Market Capitalization,115680000000.00
2015,RBC,Market Capitalization,106990000000.00
2016,RBC,Market Capitalization,134530000000.00
2017,RBC,Market Capitalization,149200000000.00
2018,RBC,Market Capitalization,134450000000.00
2019,RBC,Market Capitalization,146910000000.00
2020,RBC,Market Capitalization,148820000000.00
2021,RBC,Market Capitalization,191170000000.00
2022,RBC,Market Capitalization,176420000000.00
2023,RBC,Market Capitalization,188980000000.00
2024,RBC,Market Capitalization,245350000000.00
2025,RBC,Market Capitalization,246570000000.00
2010,RBC,Total Assets,726200000000.00
2011,RBC,Total Assets,793830000000.00
2012,RBC,Total Assets,825100000000.00
2013,RBC,Total Assets,859740000000.00
2014,RBC,Total Assets,940550000000.00
2015,RBC,Total Assets,1074000000000.00
2016,RBC,Total Assets,1180000000000.00
2017,RBC,Total Assets,1212000000000.00
2018,RBC,Total Assets,1334000000000.00
2019,RBC,Total Assets,1428000000000.00
2020,RBC,Total Assets,1624000000000.00
2021,RBC,Total Assets,1706000000000.00
2022,RBC,Total Assets,1917000000000.00
2023,RBC,Total Assets,2006000000000.00
2024,RBC,Total Assets,2171000000000.00
2025,RBC,Total Assets,
2010,RBC,Net Assets,41200000000.00
2011,RBC,Net Assets,41460000000.00
2012,RBC,Net Assets,46020000000.00
2013,RBC,Net Assets,49460000000.00
2014,RBC,Net Assets,54500000000.00
2015,RBC,Net Assets,63940000000.00
2016,RBC,Net Assets,71610000000.00
2017,RBC,Net Assets,74420000000.00
2018,RBC,Net Assets,79950000000.00
2019,RBC,Net Assets,83620000000.00
2020,RBC,Net Assets,86760000000.00
2021,RBC,Net Assets,98760000000.00
2022,RBC,Net Assets,108170000000.00
2023,RBC,Net Assets,115140000000.00
2024,RBC,Net Assets,127190000000.00
2025,RBC,Net Assets,
2010,RBC,Revenue,28040000000.00
2011,RBC,Revenue,27760000000.00
2012,RBC,Revenue,30000000000.00
2013,RBC,Revenue,31110000000.00
2014,RBC,Revenue,35090000000.00
2015,RBC,Revenue,34830000000.00
2016,RBC,Revenue,37530000000.00
2017,RBC,Revenue,41830000000.00
2018,RBC,Revenue,43280000000.00
2019,RBC,Revenue,47000000000.00
2020,RBC,Revenue,47200000000.00
2021,RBC,Revenue,49650000000.00
2022,RBC,Revenue,49150000000.00
2023,RBC,Revenue,52350000000.00
2024,RBC,Revenue,60450000000.00
2025,RBC,Revenue,62120000000.00
2010,RBC,Earnings,7790000000.00
2011,RBC,Earnings,8720000000.00
2012,RBC,Earnings,10020000000.00
2013,RBC,Earnings,10480000000.00
2014,RBC,Earnings,12140000000.00
2015,RBC,Earnings,12550000000.00
2016,RBC,Earnings,13990000000.00
2017,RBC,Earnings,14860000000.00
2018,RBC,Earnings,15650000000.00
2019,RBC,Earnings,16400000000.00
2020,RBC,Earnings,14840000000.00
2021,RBC,Earnings,21130000000.00
2022,RBC,Earnings,19960000000.00
2023,RBC,Earnings,17460000000.00
2024,RBC,Earnings,21940000000.00
2025,RBC,Earnings,22530000000.00
2010,Scotiabank,Market Capitalization,59510000000.00
2011,Scotiabank,Market Capitalization,55170000000.00
2012,Scotiabank,Market Capitalization,68030000000.00
2013,Scotiabank,Market Capitalization,80270000000.00
2014,Scotiabank,Market Capitalization,80640000000.00
2015,Scotiabank,Market Capitalization,67300000000.00
2016,Scotiabank,Market Capitalization,90000000000.00
2017,Scotiabank,Market Capitalization,97350000000.00
2018,Scotiabank,Market Capitalization,83500000000.00
2019,Scotiabank,Market Capitalization,89180000000.00
2020,Scotiabank,Market Capitalization,83350000000.00
2021,Scotiabank,Market Capitalization,108810000000.00
2022,Scotiabank,Market Capitalization,79180000000.00
2023,Scotiabank,Market Capitalization,78530000000.00
2024,Scotiabank,Market Capitalization,96000000000.00
2025,Scotiabank,Market Capitalization,92430000000.00
2010,Scotiabank,Total Assets,543970000000.00
2011,Scotiabank,Total Assets,594420000000.00
2012,Scotiabank,Total Assets,668040000000.00
2013,Scotiabank,Total Assets,743640000000.00
2014,Scotiabank,Total Assets,805660000000.00
2015,Scotiabank,Total Assets,856490000000.00
2016,Scotiabank,Total Assets,896260000000.00
2017,Scotiabank,Total Assets,915270000000.00
2018,Scotiabank,Total Assets,998490000000.00
2019,Scotiabank,Total Assets,1086000000000.00
2020,Scotiabank,Total Assets,1136000000000.00
2021,Scotiabank,Total Assets,1184000000000.00
2022,Scotiabank,Total Assets,1349000000000.00
2023,Scotiabank,Total Assets,1411000000000.00
2024,Scotiabank,Total Assets,1412000000000.00
2025,Scotiabank,Total Assets,
2010,Scotiabank,Net Assets,27210000000.00
2011,Scotiabank,Net Assets,32240000000.00
2012,Scotiabank,Net Assets,41370000000.00
2013,Scotiabank,Net Assets,45380000000.00
2014,Scotiabank,Net Assets,49210000000.00
2015,Scotiabank,Net Assets,53470000000.00
2016,Scotiabank,Net Assets,57820000000.00
2017,Scotiabank,Net Assets,61620000000.00
2018,Scotiabank,Net Assets,67680000000.00
2019,Scotiabank,Net Assets,70190000000.00
2020,Scotiabank,Net Assets,70500000000.00
2021,Scotiabank,Net Assets,72890000000.00
2022,Scotiabank,Net Assets,74740000000.00
2023,Scotiabank,Net Assets,78570000000.00
2024,Scotiabank,Net Assets,84070000000.00
2025,Scotiabank,Net Assets,
2010,Scotiabank,Revenue,15830000000.00
2011,Scotiabank,Revenue,17810000000.00
2012,Scotiabank,Revenue,18580000000.00
2013,Scotiabank,Revenue,21100000000.00
2014,Scotiabank,Revenue,23430000000.00
2015,Scotiabank,Revenue,24130000000.00
2016,Scotiabank,Revenue,26440000000.00
2017,Scotiabank,Revenue,26950000000.00
2018,Scotiabank,Revenue,28710000000.00
2019,Scotiabank,Revenue,30370000000.00
2020,Scotiabank,Revenue,31010000000.00
2021,Scotiabank,Revenue,30850000000.00
2022,Scotiabank,Revenue,31130000000.00
2023,Scotiabank,Revenue,32170000000.00
2024,Scotiabank,Revenue,34480000000.00
2025,Scotiabank,Revenue,35120000000.00
2010,Scotiabank,Earnings,6180000000.00
2011,Scotiabank,Earnings,7070000000.00
2012,Scotiabank,Earnings,8230000000.00
2013,Scotiabank,Earnings,8490000000.00
2014,Scotiabank,Earnings,9310000000.00
2015,Scotiabank,Earnings,9120000000.00
2016,Scotiabank,Earnings,9760000000.00
2017,Scotiabank,Earnings,10690000000.00
2018,Scotiabank,Earnings,10800000000.00
2019,Scotiabank,Earnings,11320000000.00
2020,Scotiabank,Earnings,8690000000.00
2021,Scotiabank,Earnings,13330000000.00
2022,Scotiabank,Earnings,12190000000.00
2023,Scotiabank,Earnings,9570000000.00
2024,Scotiabank,Earnings,8910000000.00
2025,Scotiabank,Earnings,8850000000.00
2010,BMO,Market Capitalization,32540000000.00
2011,BMO,Market Capitalization,35570000000.00
2012,BMO,Market Capitalization,39580000000.00
2013,BMO,Market Capitalization,45590000000.00
2014,BMO,Market Capitalization,52910000000.00
2015,BMO,Market Capitalization,50180000000.00
2016,BMO,Market Capitalization,62150000000.00
2017,BMO,Market Capitalization,65190000000.00
2018,BMO,Market Capitalization,57780000000.00
2019,BMO,Market Capitalization,64320000000.00
2020,BMO,Market Capitalization,62560000000.00
2021,BMO,Market Capitalization,88240000000.00
2022,BMO,Market Capitalization,86460000000.00
2023,BMO,Market Capitalization,94770000000.00
2024,BMO,Market Capitalization,101640000000.00
2025,BMO,Market Capitalization,104710000000.00
2010,BMO,Total Assets,437710000000.00
2011,BMO,Total Assets,500570000000.00
2012,BMO,Total Assets,525440000000.00
2013,BMO,Total Assets,537040000000.00
2014,BMO,Total Assets,588650000000.00
2015,BMO,Total Assets,641880000000.00
2016,BMO,Total Assets,687930000000.00
2017,BMO,Total Assets,709580000000.00
2018,BMO,Total Assets,773290000000.00
2019,BMO,Total Assets,852190000000.00
2020,BMO,Total Assets,949260000000.00
2021,BMO,Total Assets,988170000000.00
2022,BMO,Total Assets,1139000000000.00
2023,BMO,Total Assets,1347000000000.00
2024,BMO,Total Assets,1409000000000.00
2025,BMO,Total Assets,
2010,BMO,Net Assets,21680000000.00
2011,BMO,Net Assets,27830000000.00
2012,BMO,Net Assets,30090000000.00
2013,BMO,Net Assets,31170000000.00
2014,BMO,Net Assets,35400000000.00
2015,BMO,Net Assets,39910000000.00
2016,BMO,Net Assets,42320000000.00
2017,BMO,Net Assets,44350000000.00
2018,BMO,Net Assets,45720000000.00
2019,BMO,Net Assets,51070000000.00
2020,BMO,Net Assets,56590000000.00
2021,BMO,Net Assets,57520000000.00
2022,BMO,Net Assets,71030000000.00
2023,BMO,Net Assets,76120000000.00
2024,BMO,Net Assets,84280000000.00
2025,BMO,Net Assets,
2010,BMO,Revenue,12580000000.00
2011,BMO,Revenue,14840000000.00
2012,BMO,Revenue,16040000000.00
2013,BMO,Revenue,16510000000.00
2014,BMO,Revenue,18740000000.00
2015,BMO,Revenue,19190000000.00
2016,BMO,Revenue,21090000000.00
2017,BMO,Revenue,22300000000.00
2018,BMO,Revenue,23630000000.00
2019,BMO,Revenue,25560000000.00
2020,BMO,Revenue,25420000000.00
2021,BMO,Revenue,27110000000.00
2022,BMO,Revenue,26180000000.00
2023,BMO,Revenue,31750000000.00
2024,BMO,Revenue,33610000000.00
2025,BMO,Revenue,34370000000.00
2010,BMO,Earnings,3800000000.00
2011,BMO,Earnings,4460000000.00
2012,BMO,Earnings,4980000000.00
2013,BMO,Earnings,5300000000.00
2014,BMO,Earnings,5030000000.00
2015,BMO,Earnings,5450000000.00
2016,BMO,Earnings,6320000000.00
2017,BMO,Earnings,6530000000.00
2018,BMO,Earnings,7570000000.00
2019,BMO,Earnings,7380000000.00
2020,BMO,Earnings,6940000000.00
2021,BMO,Earnings,11540000000.00
2022,BMO,Earnings,14490000000.00
2023,BMO,Earnings,7080000000.00
2024,BMO,Earnings,10700000000.00
2025,BMO,Earnings,10880000000.00
2010,CIBC,Market Capitalization,30740000000.00
2011,CIBC,Market Capitalization,29450000000.00
2012,CIBC,Market Capitalization,32330000000.00
2013,CIBC,Market Capitalization,36210000000.00
2014,CIBC,Market Capitalization,39630000000.00
2015,CIBC,Market Capitalization,36210000000.00
2016,CIBC,Market Capitalization,43350000000.00
2017,CIBC,Market Capitalization,53870000000.00
2018,CIBC,Market Capitalization,45030000000.00
2019,CIBC,Market Capitalization,48120000000.00
2020,CIBC,Market Capitalization,48600000000.00
2021,CIBC,Market Capitalization,66460000000.00
2022,CIBC,Market Capitalization,49730000000.00
2023,CIBC,Market Capitalization,59550000000.00
2024,CIBC,Market Capitalization,85040000000.00
2025,CIBC,Market Capitalization,87330000000.00
2010,CIBC,Total Assets,379300000000.00
2011,CIBC,Total Assets,383750000000.00
2012,CIBC,Total Assets,393380000000.00
2013,CIBC,Total Assets,398000000000.00
2014,CIBC,Total Assets,414900000000.00
2015,CIBC,Total Assets,463300000000.00
2016,CIBC,Total Assets,501350000000.00
2017,CIBC,Total Assets,565260000000.00
2018,CIBC,Total Assets,597090000000.00
2019,CIBC,Total Assets,651600000000.00
2020,CIBC,Total Assets,769550000000.00
2021,CIBC,Total Assets,837680000000.00
2022,CIBC,Total Assets,943590000000.00
2023,CIBC,Total Assets,975690000000.00
2024,CIBC,Total Assets,1041000000000.00
2025,CIBC,Total Assets,
2010,CIBC,Net Assets,14790000000.00
2011,CIBC,Net Assets,16090000000.00
2012,CIBC,Net Assets,17030000000.00
2013,CIBC,Net Assets,17990000000.00
2014,CIBC,Net Assets,18780000000.00
2015,CIBC,Net Assets,21550000000.00
2016,CIBC,Net Assets,23670000000.00
2017,CIBC,Net Assets,31230000000.00
2018,CIBC,Net Assets,35110000000.00
2019,CIBC,Net Assets,38580000000.00
2020,CIBC,Net Assets,41330000000.00
2021,CIBC,Net Assets,45830000000.00
2022,CIBC,Net Assets,50380000000.00
2023,CIBC,Net Assets,53160000000.00
2024,CIBC,Net Assets,59000000000.00
